# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
glp-1,w02b12.1
glp-1,fbxa-157
glp-1,c28g1.5
glp-1,oac-59
glp-1,pho-8
glp-1,pes-7
glp-1,gst-22
glp-1,f13e6.5
glp-1,h20e11.3
glp-1,h20e11.2
glp-1,y34b4a.9
glp-1,f08f3.4
glp-1,sdz-6
glp-1,y37d8a.4
glp-1,dhs-21
glp-1,y41d4b.18
glp-1,c50f2.7
glp-1,dod-17
glp-1,f14f9.4
glp-1,zk228.4
glp-1,zk228.3
glp-1,c25d7.16
glp-1,acox-2
glp-1,sgk-1
glp-1,pho-4
glp-1,nrf-6
glp-1,f56d2.5
glp-1,y32f6a.5
glp-1,t28d6.3
glp-1,haao-1
glp-1,f58b4.5
glp-1,lbp-3
glp-1,t25g12.6
glp-1,aqp-8
glp-1,acd-1
glp-1,f47d12.6
glp-1,gst-28
glp-1,tag-38
glp-1,ugt-26
glp-1,pcp-4
glp-1,aat-4
glp-1,h20e11.1
glp-1,math-4
glp-1,k09c4.1
glp-1,c35a11.4
glp-1,t26f2.2
glp-1,zk6.11
glp-1,mth-1
glp-1,y41c4a.11
glp-1,gst-38
glp-1,m03b6.1
glp-1,c53b7.2
glp-1,c17h12.6
glp-1,far-6
glp-1,f35e12.5
glp-1,h06h21.8
glp-1,srx-58
glp-1,zc376.2
glp-1,cdr-7
glp-1,irld-35
glp-1,f55b11.1
glp-1,pho-7
glp-1,f36a2.3
glp-1,bas-1
glp-1,dod-24
glp-1,inx-17
glp-1,y14h12a.1
glp-1,ugt-29
glp-1,tmem-135
glp-1,f58g6.7
glp-1,y39d8a.1
glp-1,ugt-44
glp-1,m05b5.4
glp-1,fbxa-14
glp-1,c49a9.5
glp-1,k08d10.10
glp-1,c49a9.2
glp-1,k08f9.1
glp-1,y39a3a.3
glp-1,f53c11.1
glp-1,t24c4.4
glp-1,d1086.5
glp-1,t06a1.5
glp-1,dc2.5
glp-1,scav-1
glp-1,pkc-2
glp-1,f55g11.2
glp-1,f55g11.4
glp-1,f55g11.8
glp-1,mig-17
glp-1,zk550.2
glp-1,k05b2.4
glp-1,efn-3
glp-1,alh-13
glp-1,oac-6
glp-1,oac-31
glp-1,ttm-5
glp-1,c16d9.4
glp-1,f58g6.9
glp-1,f36g9.3
glp-1,oac-20
glp-1,y47h10a.5
glp-1,hum-8
glp-1,irld-53
glp-1,oac-14
glp-1,c49c3.9
glp-1,clec-10
glp-1,asp-17
glp-1,c40h1.7
glp-1,m01g12.9
glp-1,ent-4
glp-1,clec-139
glp-1,d2096.1
glp-1,y71f9b.9
glp-1,math-40
glp-1,zk742.3
glp-1,abhd-3.2
glp-1,arrd-7
glp-1,f19c7.2
glp-1,f19c7.4
glp-1,k08c7.1
glp-1,zk105.1
glp-1,clec-74
glp-1,zk896.5
glp-1,c32h11.4
glp-1,c32h11.3
glp-1,clec-204
glp-1,c49g7.12
glp-1,zig-7
glp-1,tre-3
glp-1,btb-21
glp-1,dct-18
glp-1,hsp-6
glp-1,c39b10.3
glp-1,lem-4
glp-1,cyp-14a5
glp-1,t04b2.3
glp-1,y82e9br.13
glp-1,rpl-25.2
glp-1,f35c12.3
glp-1,sqv-5
glp-1,t09a5.5
glp-1,clec-199
glp-1,mcm-4
glp-1,hasp-1
glp-1,f18c12.3
glp-1,f41c3.1
glp-1,srh-70
glp-1,zk546.14
glp-1,f47h4.2
glp-1,y47g6a.14
glp-1,f16f9.4
glp-1,hsp-75
glp-1,clec-240
glp-1,ceh-60
glp-1,h09g03.1
glp-1,hsp-43
glp-1,c05d11.9
glp-1,fut-8
glp-1,mrpl-1
glp-1,dic-1
glp-1,ttr-54
glp-1,c01a2.1
glp-1,f44e7.3
glp-1,c34c6.7
glp-1,ugt-22
glp-1,cutl-28
glp-1,lact-6
glp-1,cyp-33a1
glp-1,y62h9a.12
glp-1,t28d9.4
glp-1,c45g9.2
glp-1,ckb-4
glp-1,haf-9
glp-1,cdh-10
glp-1,gad-3
glp-1,m153.1
glp-1,trpl-2
glp-1,dhs-3
glp-1,zk669.3
glp-1,f59a3.2
glp-1,del-5
glp-1,cutc-1
glp-1,f21g4.5
glp-1,f25h8.2
glp-1,ins-26
glp-1,stim-1
glp-1,ctsa-1
glp-1,cpg-8
glp-1,c05c8.7
glp-1,c15f1.2
glp-1,b0205.1
glp-1,cogc-8
glp-1,gfm-1
glp-1,f23f1.6
glp-1,ncs-4
glp-1,f20a1.6
glp-1,b0563.5
glp-1,zc434.4
glp-1,drh-3
glp-1,pif-1
glp-1,f08a8.4
glp-1,cd4.8
glp-1,nas-32
glp-1,f36d1.7
glp-1,zc395.5
glp-1,c31e10.5
glp-1,f58b3.4
glp-1,c25f9.4
glp-1,f14f7.5
glp-1,c26f1.3
glp-1,fbxa-99
glp-1,rrf-3
glp-1,fbxa-135
glp-1,pcp-2
glp-1,f10b5.2
glp-1,f59a3.12
glp-1,r04f11.3
glp-1,pcp-5
glp-1,fbxc-26
glp-1,dars-2
glp-1,zk402.5
glp-1,c09g12.5
glp-1,c42c1.12
glp-1,y17g9a.2
glp-1,y46h3c.6
glp-1,c25h3.10
glp-1,fbxb-71
glp-1,skr-5
glp-1,c43f9.5
glp-1,let-611
glp-1,mfap-1
glp-1,f32b5.1
glp-1,k07c5.3
glp-1,coq-1
glp-1,zk1127.5
glp-1,tag-72
glp-1,k09g1.1
glp-1,zc84.1
glp-1,y4c6a.3
glp-1,f29g6.1
glp-1,f41c3.7
glp-1,f47g3.1
glp-1,f36g3.2
glp-1,c01g10.9
glp-1,taf-10
glp-1,c29g2.6
glp-1,t24e12.1
glp-1,k09e2.3
glp-1,t28a11.16
glp-1,gst-42
glp-1,t22b7.3
glp-1,nhr-41
glp-1,cex-2
glp-1,col-153
glp-1,fbxb-101
glp-1,sri-36
glp-1,mgl-1
glp-1,klp-18
glp-1,f15d4.5
glp-1,idhg-1
glp-1,e02h4.7
glp-1,ceh-79
glp-1,sti-1
glp-1,k10c9.3
glp-1,w09c3.3
glp-1,f10a3.4
glp-1,f55f3.4
glp-1,r08f11.4
glp-1,fbxc-40
glp-1,y32b12c.1
glp-1,f57g4.11
glp-1,c33g8.2
glp-1,y10g11a.90
glp-1,k10g4.3
glp-1,spp-23
glp-1,fbxa-192
glp-1,f08g5.6
glp-1,f58f9.4
glp-1,hmit-1.1
glp-1,y102a5c.36
glp-1,ugt-30
glp-1,fbxb-40
glp-1,f12e12.1
glp-1,y37a1a.2
glp-1,cyp-34a2
glp-1,t26h5.9
glp-1,y54g2a.36
glp-1,srr-6
glp-1,y110a2al.3
glp-1,c17e4.2
glp-1,his-4
glp-1,f56d6.8
glp-1,fbxa-162
glp-1,csq-1
glp-1,c06e2.1
glp-1,b0272.4
glp-1,swt-3
glp-1,zk355.8
glp-1,k08d8.4
glp-1,clec-75
glp-1,y42a5a.3
glp-1,pqn-73
glp-1,b0284.1
glp-1,col-124
glp-1,c50f7.5
glp-1,odc-1
glp-1,f36f2.2
glp-1,lipl-2
glp-1,f20g2.5
glp-1,f46c5.1
glp-1,gst-6
glp-1,f01d5.2
glp-1,f01d5.5
glp-1,f01d5.3
glp-1,f08d12.2
glp-1,clec-7
glp-1,irg-3
glp-1,pqn-52
glp-1,y19d10b.6
glp-1,c18h7.11
glp-1,y11d7a.3
glp-1,f13a2.4
glp-1,scl-5
glp-1,acdh-1
glp-1,fmo-3
glp-1,f31f7.1
glp-1,phat-3
glp-1,irg-2
glp-1,c49g7.3
glp-1,cutl-13
glp-1,c15h9.9
glp-1,c17e7.9
glp-1,fbxc-50
glp-1,y57g11b.5
glp-1,fbxa-200
glp-1,f35c5.12
glp-1,y67a10a.10
glp-1,zip-10
glp-1,f28b4.3
glp-1,nhr-58
glp-1,f25e2.2
glp-1,grd-14
glp-1,ipla-4
glp-1,r102.4
glp-1,lec-11
glp-1,lec-9
glp-1,f41e6.12
glp-1,col-43
glp-1,tag-244
glp-1,c16b8.3
glp-1,w02d9.7
glp-1,spon-1
glp-1,f28e10.5
glp-1,c35a5.6
glp-1,f22e5.7
glp-1,lsy-27
glp-1,c28c12.4
glp-1,clec-56
glp-1,ttr-24
glp-1,clec-160
glp-1,zig-2
glp-1,clec-198
glp-1,k09c6.9
glp-1,cyp-35a3
glp-1,k09d9.1
glp-1,k03h6.2
glp-1,c39b5.5
glp-1,lips-14
glp-1,clec-5
glp-1,clec-6
glp-1,f35c8.5
glp-1,r07c12.4
glp-1,ugt-31
glp-1,clec-190
glp-1,nlp-16
glp-1,w03d8.7
glp-1,ptr-24
glp-1,fog-1
glp-1,c52b11.5
glp-1,aagr-1
glp-1,f02e8.4
glp-1,t12a2.1
glp-1,f19b10.5
glp-1,f19b10.4
glp-1,y7a9a.1
glp-1,clec-86
glp-1,ftn-2
glp-1,y75b8a.28
glp-1,asp-8
glp-1,test-1
glp-1,y82e9bl.18
glp-1,sid-2
glp-1,f08g2.5
glp-1,k02e11.4
glp-1,k02e11.6
glp-1,k02e11.5
glp-1,k02e11.7
glp-1,zk822.4
glp-1,k01c8.1
glp-1,f26a1.9
glp-1,nep-2
glp-1,f56c9.7
glp-1,clec-49
glp-1,f54d11.3
glp-1,ttr-36
glp-1,y38e10a.14
glp-1,nspc-9
glp-1,f09e10.1
glp-1,pgp-12
glp-1,pqn-88
glp-1,tni-3
glp-1,c27h5.4
glp-1,srr-3
glp-1,drd-5
glp-1,drd-2
glp-1,tag-10
glp-1,y48g9a.9
glp-1,cpt-3
glp-1,f08d12.7
glp-1,f44g3.10
glp-1,f49c12.7
glp-1,r09h10.5
glp-1,t07f10.1
glp-1,pho-14
glp-1,lmp-2
glp-1,e04f6.15
glp-1,csp-1
glp-1,y40h7a.10
glp-1,hpo-15
glp-1,scl-2
glp-1,t04d3.8
glp-1,mua-6
glp-1,k08c7.6
glp-1,f02h6.2
glp-1,c17e7.12
glp-1,c37c3.7
glp-1,pqn-24
glp-1,f26c11.1
glp-1,d2007.1
glp-1,f35e12.10
glp-1,dct-17
glp-1,y16b4a.2
glp-1,c54e4.5
glp-1,lips-5
glp-1,nhr-235
glp-1,nspc-1
glp-1,cyp-35c1
glp-1,y105c5b.5
glp-1,t04a6.1
glp-1,w02b12.4
glp-1,atn-1
glp-1,anmt-2
glp-1,ubc-23
glp-1,r05a10.2
glp-1,clec-48
glp-1,y51a2d.13
glp-1,t20d3.2
glp-1,oig-2
glp-1,cri-2
glp-1,lys-8
glp-1,f11d11.3
glp-1,c55a6.12
glp-1,f35a5.2
glp-1,c33g8.4
glp-1,cle-1
glp-1,y34b4a.5
glp-1,t19h12.3
glp-1,c43d7.4
glp-1,y47h9c.1
glp-1,oac-32
glp-1,c29f9.4
glp-1,t06e6.10
glp-1,gpdh-1
glp-1,c29f5.1
glp-1,ceh-45
glp-1,y43f8c.13
glp-1,y76b12c.4
glp-1,y69a2ar.22
glp-1,col-10
glp-1,dhs-18
glp-1,t25c12.3
glp-1,smp-2
glp-1,klf-2
glp-1,fbxa-18
glp-1,him-4
glp-1,d1005.4
glp-1,acox-1
glp-1,phy-3
glp-1,pud-3
glp-1,f55f3.2
glp-1,f22f4.5
glp-1,f22e5.17
glp-1,col-96
glp-1,t05b11.4
glp-1,gsnl-1
glp-1,f19c7.5
glp-1,c31c9.7
glp-1,lipl-1
glp-1,f54f7.2
glp-1,r10h10.3
glp-1,c25e10.10
glp-1,pho-11
glp-1,f46g10.4
glp-1,zip-3
glp-1,k11d12.7
glp-1,srp-1
glp-1,acs-1
glp-1,f59a7.5
glp-1,w10g11.2
glp-1,c46f2.1
glp-1,f35f10.13
glp-1,b0281.4
glp-1,f42a10.6
glp-1,gst-26
glp-1,gst-24
glp-1,ugt-25
glp-1,cbl-1
glp-1,f23d12.3
glp-1,c50b6.7
glp-1,m03a1.3
glp-1,h41c03.1
glp-1,f42g10.1
glp-1,fip-2
glp-1,glct-6
glp-1,f56f10.1
glp-1,mlp-1
glp-1,pqn-92
glp-1,f41b4.2
glp-1,lgc-32
glp-1,fbxa-55
glp-1,c04e12.2
glp-1,y41c4a.6
glp-1,cnc-3
glp-1,f49c12.14
glp-1,acp-6
glp-1,acp-7
glp-1,m02h5.8
glp-1,fbxa-60
glp-1,c18a3.1
glp-1,pudl-1
glp-1,c53a3.2
glp-1,mxl-3
glp-1,f54b8.4
glp-1,col-158
glp-1,f52e1.2
glp-1,far-8
glp-1,f14h12.3
glp-1,clec-80
glp-1,nspc-20
glp-1,nspc-16
glp-1,mec-12
glp-1,cpr-1
glp-1,nspc-17
glp-1,cpr-5
glp-1,cpr-4
glp-1,k08d8.5
glp-1,y105c5b.15
glp-1,f55b11.3
glp-1,clec-166
glp-1,f15d3.8
glp-1,clec-170
glp-1,flu-2
glp-1,w04a4.2
glp-1,t12b3.2
glp-1,h12i13.6
glp-1,t24b8.5
glp-1,nspc-18
glp-1,oac-34
glp-1,r05g9.3
glp-1,anmt-3
glp-1,ttr-6
glp-1,pfn-3
glp-1,y17g9a.4
glp-1,gsto-3
glp-1,y102a11a.1
glp-1,zyx-1
glp-1,f27e5.1
glp-1,asp-14
glp-1,b0403.6
glp-1,f37c12.10
glp-1,vap-1
glp-1,ztf-26
glp-1,r01h10.4
glp-1,ugt-43
glp-1,nid-1
glp-1,ttr-28
glp-1,t28a11.19
glp-1,t19d12.6
glp-1,f53f4.13
glp-1,heh-1
glp-1,k08d10.9
glp-1,f41g3.10
glp-1,dhs-28
glp-1,acs-22
glp-1,y12a6a.1
glp-1,y43f8b.11
glp-1,y66d12a.13
glp-1,t10g3.3
glp-1,y42g9a.2
glp-1,gst-27
glp-1,r05a10.3
glp-1,y71h2b.4
glp-1,k10d11.6
glp-1,ilys-2
glp-1,zk622.5
glp-1,nhr-112
glp-1,w02g9.4
glp-1,c36c5.5
glp-1,zk84.1
glp-1,f07c6.3
glp-1,c03b1.14
glp-1,daf-22
glp-1,cpg-9
glp-1,y57g11c.40
glp-1,vglu-3
glp-1,clec-84
glp-1,cth-2
glp-1,pud-4
glp-1,nrf-5
glp-1,zk1193.3
glp-1,zk1193.2
glp-1,t28f3.8
glp-1,c07e3.9
glp-1,clec-223
glp-1,fat-3
glp-1,ttr-31
glp-1,f36a4.5
glp-1,t01d3.6
glp-1,thn-5
glp-1,ost-1
glp-1,nhr-244
glp-1,aex-5
glp-1,y69a2al.2
glp-1,clec-165
glp-1,clec-173
glp-1,w03g11.3
glp-1,f23d12.7
glp-1,zk1010.5
glp-1,w04b5.3
glp-1,t05e12.3
glp-1,cah-4
glp-1,grd-13
glp-1,t10b11.8
glp-1,tbh-1
glp-1,dmsr-2
glp-1,btb-14
glp-1,clec-83
glp-1,c45b2.1
glp-1,pgp-8
glp-1,y95b8a.2
glp-1,c34h4.1
glp-1,y7a5a.1
glp-1,cyp-35a2
glp-1,c03h5.5
glp-1,t16g1.5
glp-1,y69a2ar.25
glp-1,y51f10.7
glp-1,f48c1.9
glp-1,c26b9.5
glp-1,lipl-7
glp-1,f02h6.3
glp-1,c14c6.5
glp-1,fbxa-51
glp-1,clec-233
glp-1,f35f10.1
glp-1,gcsh-1
glp-1,y60a3a.16
glp-1,y37d8a.3
glp-1,y43f8b.1
glp-1,d2092.4
glp-1,y43f8a.5
glp-1,y17g7b.8
glp-1,k01g12.3
glp-1,t11b7.5
glp-1,tsp-10
glp-1,c42d4.1
glp-1,vc5.2
glp-1,f36a2.14
glp-1,zk105.6
glp-1,ttr-16
glp-1,col-34
glp-1,lec-6
glp-1,f56c3.9
glp-1,cec-2
glp-1,t28f4.5
glp-1,clec-187
glp-1,h11e01.2
glp-1,t02b11.3
glp-1,r13d7.2
glp-1,clec-205
glp-1,nhr-74
glp-1,c14f11.4
glp-1,c28g1.2
glp-1,pqn-31
glp-1,r07c12.2
glp-1,y47d3a.32
glp-1,pqn-75
glp-1,w06g6.10
glp-1,c12d5.9
glp-1,ugt-32
glp-1,c12d12.1
glp-1,w09c3.7
glp-1,fbxc-18
glp-1,nmur-4
glp-1,skr-21
glp-1,f22g12.1
glp-1,f13h8.11
glp-1,f14d7.5
glp-1,f41g4.7
glp-1,t23f2.2
glp-1,y44a6c.2
glp-1,eeed8.15
glp-1,cfz-2
glp-1,c38d9.8
glp-1,c38d9.2
glp-1,dhs-2
glp-1,dhs-11
glp-1,f54b11.10
glp-1,eya-1
glp-1,fbxb-49
glp-1,cyp-32b1
glp-1,w08a12.4
glp-1,c23f12.3
glp-1,fbxb-45
glp-1,fbxb-41
glp-1,btb-11
glp-1,t03e6.8
glp-1,c07e3.3
glp-1,rab-11.2
glp-1,b0507.8
glp-1,igcm-1
glp-1,c08f1.11
glp-1,f48e3.6
glp-1,ham-1
glp-1,hch-1
glp-1,c33e10.8
glp-1,epg-2
glp-1,f28d1.2
glp-1,w03d2.6
glp-1,f07e5.9
glp-1,ugt-1
glp-1,t05d4.2
glp-1,f40g9.6
glp-1,fbxb-61
glp-1,fbxb-60
glp-1,fbxb-57
glp-1,lpr-6
glp-1,sqt-3
glp-1,wht-1
glp-1,col-121
glp-1,c08f1.10
glp-1,c25f9.5
glp-1,ttr-52
glp-1,fbxb-22
glp-1,rpb-4
glp-1,y57a10c.11
glp-1,c05g5.5
glp-1,r02c2.6
glp-1,kin-34
glp-1,r02c2.1
glp-1,ife-5
glp-1,m04c3.2
glp-1,sdz-9
glp-1,fbxb-96
glp-1,fbxc-34
glp-1,y73f4a.2
glp-1,cnd-1
glp-1,m117.4
glp-1,sodh-1
glp-1,sdz-28
glp-1,ugt-18
glp-1,bath-9
glp-1,arrd-1
glp-1,sek-6
glp-1,f45d11.5
glp-1,f59c6.14
glp-1,w03f9.4
glp-1,fbxc-39
glp-1,slc-36.5
glp-1,sdz-16
glp-1,fbxc-25
glp-1,cyp-37b1
glp-1,acs-2
glp-1,f39f10.3
glp-1,r05h10.1
glp-1,sym-1
glp-1,c05e11.6
glp-1,rol-8
glp-1,fbxb-75
glp-1,ugt-50
glp-1,dsl-1
glp-1,fbxb-51
glp-1,f14f9.2
glp-1,ins-22
glp-1,cutl-9
glp-1,y110a2al.4
glp-1,flh-3
glp-1,f56d6.9
glp-1,ttr-50
glp-1,r11.4
glp-1,t19c9.8
glp-1,fbxb-59
glp-1,c40a11.4
glp-1,f23g4.1
glp-1,f40g9.5
glp-1,k02e7.7
glp-1,f46e10.2
glp-1,c54f6.15
glp-1,r11a5.3
glp-1,dpy-17
glp-1,dpy-14
glp-1,f53c3.3
glp-1,jmjd-3.2
glp-1,f53b3.5
glp-1,fbxb-8
glp-1,y47d7a.15
glp-1,c27a7.8
glp-1,c50f4.6
glp-1,y71a12b.11
glp-1,sdz-33
glp-1,gst-41
glp-1,f21h7.12
glp-1,his-24
glp-1,gfi-1
glp-1,b0511.11
glp-1,c03g6.5
glp-1,fbxb-19
glp-1,hil-3
glp-1,fbxa-6
glp-1,cpr-2
glp-1,c03c10.5
glp-1,f44f1.6
glp-1,f56d5.6
glp-1,fbxb-103
glp-1,kgb-2
glp-1,c39d10.11
glp-1,y34f4.4
glp-1,fbxb-74
glp-1,btb-6
glp-1,bath-10
glp-1,scrm-4
glp-1,y47h10a.3
glp-1,vet-6
glp-1,bath-31
glp-1,y41d4b.26
glp-1,ceh-43
glp-1,dur-1
glp-1,myo-2
glp-1,d1086.8
glp-1,t07g12.5
glp-1,zip-8
glp-1,t05h10.3
glp-1,c03b1.13
glp-1,fbxb-10
glp-1,zk596.1
glp-1,dct-3
glp-1,c54d10.8
glp-1,clec-266
glp-1,rnh-1.3
glp-1,fbxb-2
glp-1,aqp-1
glp-1,clec-196
glp-1,f26d10.11
glp-1,swt-1
glp-1,btb-8
glp-1,inx-2
glp-1,ugt-40
glp-1,fbxb-62
glp-1,t08b6.5
glp-1,ztf-11
glp-1,fbxb-42
glp-1,dsh-1
glp-1,btb-16
glp-1,deb-1
glp-1,rrf-2
glp-1,fbxb-95
glp-1,fbxb-33
glp-1,che-10
glp-1,r13a5.11
glp-1,mlt-11
glp-1,c55a6.11
glp-1,fbxb-11
glp-1,fkh-2
glp-1,ceh-16
glp-1,f46h5.5
glp-1,hot-5
glp-1,r10e8.1
glp-1,f33e2.5
glp-1,f26f2.1
glp-1,f26f2.3
glp-1,mai-1
glp-1,mdl-1
glp-1,c24f3.2
glp-1,f47g9.4
glp-1,clec-52
glp-1,f19g12.4
glp-1,c35d6.4
glp-1,c52a10.1
glp-1,clec-60
glp-1,w05f2.4
glp-1,clec-28
glp-1,gst-13
glp-1,fbxa-105
glp-1,k04f1.9
glp-1,f01d5.1
glp-1,dod-19
glp-1,f23f12.12
glp-1,c29f3.7
glp-1,fbxa-62
glp-1,zc443.4
glp-1,c46c2.5
glp-1,hpo-6
glp-1,catp-3
glp-1,c08f11.13
glp-1,dsl-2
glp-1,f57a10.4
glp-1,y45f10d.6
glp-1,nas-11
glp-1,r07c12.1
glp-1,t12c9.7
glp-1,mom-2
glp-1,gei-14
glp-1,mtcu-2
glp-1,d1081.9
glp-1,mtm-9
glp-1,f19b2.5
glp-1,zk1236.1
glp-1,y110a7a.15
glp-1,c55a6.4
glp-1,w09c5.7
glp-1,f35e12.6
glp-1,t07c12.12
glp-1,ora-1
glp-1,c50e3.12
glp-1,hmr-1
glp-1,c50e3.13
glp-1,ekl-7
glp-1,y37h2a.14
glp-1,y41d4b.17
glp-1,y41d4b.15
glp-1,y43d4a.2
glp-1,cyp-43a1
glp-1,lpd-2
glp-1,col-92
glp-1,asm-3
glp-1,col-94
glp-1,col-125
glp-1,pcaf-1
glp-1,f46f2.3
glp-1,npr-28
glp-1,f26f2.7
glp-1,clec-65
glp-1,dnj-26
glp-1,pzf-1
glp-1,r03g8.3
glp-1,fbf-1
glp-1,fbf-2
glp-1,cpg-4
glp-1,c04e6.11
glp-1,c50e3.5
glp-1,b0454.5
glp-1,dhp-1
glp-1,him-5
glp-1,t09b4.2
glp-1,chs-1
glp-1,wdr-5.3
glp-1,tat-3
glp-1,let-99
glp-1,eme-1
glp-1,f25h8.1
glp-1,f46f11.10
glp-1,y51a2d.18
glp-1,c27c7.1
glp-1,daf-18
glp-1,c05d2.8
glp-1,ppw-2
glp-1,fpn-1.1
glp-1,nos-1
glp-1,r07e5.4
glp-1,t10c6.7
glp-1,k10d11.2
glp-1,k10d11.3
glp-1,acox-3
glp-1,mig-22
glp-1,set-31
glp-1,zc317.7
glp-1,phf-14
glp-1,t10e9.2
glp-1,spr-1
glp-1,c14c11.2
glp-1,f46g10.1
glp-1,rde-1
glp-1,eri-9
glp-1,w10g11.3
glp-1,w10g11.1
glp-1,t21h3.1
glp-1,b0281.3
glp-1,viln-1
glp-1,kca-1
glp-1,h34i24.2
glp-1,clu-1
glp-1,swt-6
glp-1,b0432.8
glp-1,egg-6
glp-1,ech-9
glp-1,klp-7
glp-1,clc-1
glp-1,col-17
glp-1,avr-15
glp-1,y69h2.9
glp-1,c29a12.1
glp-1,c14b1.8
glp-1,asd-1
glp-1,y17g9b.9
glp-1,zk1320.2
glp-1,gla-3
glp-1,y53f4b.9
glp-1,c27c12.3
glp-1,rbr-2
glp-1,phf-10
glp-1,y39e4b.5
glp-1,orc-1
glp-1,spd-1
glp-1,parp-1
glp-1,cep-1
glp-1,b0238.9
glp-1,m28.10
glp-1,y18d10a.11
glp-1,h11l12.1
glp-1,f54d5.9
glp-1,h02i12.5
glp-1,mrp-7
glp-1,cyp-35d1
glp-1,spe-44
glp-1,apx-1
glp-1,k11g9.2
glp-1,c16c8.13
glp-1,c16c8.12
glp-1,pot-1
glp-1,mrp-4
glp-1,dsc-4
glp-1,y46g5a.20
glp-1,bath-19
glp-1,dna-2
glp-1,w03f8.3
glp-1,zc376.3
glp-1,f58f9.3
glp-1,f19c7.1
glp-1,c27d9.1
glp-1,klp-15
glp-1,klp-16
glp-1,zk899.2
glp-1,zk402.2
glp-1,fut-6
glp-1,clec-186
glp-1,f10b5.8
glp-1,aptf-3
glp-1,y62e10a.14
glp-1,wago-4
glp-1,c24b9.3
glp-1,dpf-6
glp-1,f22g12.4
glp-1,puf-3
glp-1,f02h6.4
glp-1,tyr-4
glp-1,era-1
glp-1,ubxn-1
glp-1,col-144
glp-1,gpx-5
glp-1,best-15
glp-1,rme-2
glp-1,f42a8.1
glp-1,ac3.5
glp-1,c01g8.1
glp-1,t24d1.3
glp-1,mex-1
glp-1,y108g3al.3
glp-1,egg-2
glp-1,egg-4
glp-1,f52c12.1
glp-1,r05d3.9
glp-1,gyg-2
glp-1,w09d12.1
glp-1,nfyb-1
glp-1,ttr-18
glp-1,d1044.6
glp-1,twk-5
glp-1,mei-2
glp-1,cal-5
glp-1,vab-1
glp-1,fbxc-42
glp-1,c44b7.5
glp-1,puf-6
glp-1,zk512.7
glp-1,best-14
glp-1,y54f10am.11
glp-1,col-155
glp-1,c48e7.1
glp-1,c52g5.2
glp-1,unc-71
glp-1,egg-5
glp-1,puf-7
glp-1,pie-1
glp-1,zk945.4
glp-1,f54d10.7
glp-1,c04b4.2
glp-1,t01g5.7
glp-1,oma-2
glp-1,dvc-1
glp-1,w05f2.3
glp-1,smgl-2
glp-1,tbx-36
glp-1,xpo-2
glp-1,c08b6.10
glp-1,ptr-2
glp-1,cdo-1
glp-1,c04e12.4
glp-1,mig-32
glp-1,gfat-2
glp-1,afmd-1
glp-1,gly-8
glp-1,inx-8
glp-1,inx-9
glp-1,w06d11.3
glp-1,k02f6.7
glp-1,r02f2.8
glp-1,str-144
glp-1,c18e3.9
glp-1,t25b9.1
glp-1,cpg-1
glp-1,glh-2
glp-1,mig-5
glp-1,col-73
glp-1,y110a2ar.1
glp-1,mrp-6
glp-1,c04g2.10
glp-1,w08f4.3
glp-1,adt-2
glp-1,f14h3.4
glp-1,dpy-4
glp-1,f14d7.2
glp-1,wdr-20
glp-1,f29g9.7
glp-1,puf-11
glp-1,f21a3.3
glp-1,t06d4.1
glp-1,ugt-60
glp-1,mdt-17
glp-1,klp-19
glp-1,alh-9
glp-1,y106g6d.6
glp-1,f29b9.8
glp-1,f53f8.3
glp-1,r10e4.6
glp-1,c31b8.8
glp-1,dpy-31
glp-1,skr-14
glp-1,sdz-4
glp-1,dpf-2
glp-1,zk809.8
glp-1,f08d12.3
glp-1,f10g2.4
glp-1,f10g2.1
glp-1,ccg-1
glp-1,lips-16
glp-1,coel-1
glp-1,ugt-51
glp-1,t04c12.3
glp-1,nhr-11
glp-1,flp-24
glp-1,t05e7.4
glp-1,clec-12
glp-1,unc-68
glp-1,fbxb-54
glp-1,scrm-2
glp-1,zk1058.9
glp-1,unc-60
glp-1,ccch-2
glp-1,f45e1.4
glp-1,c34c12.7
glp-1,k12h6.7
glp-1,f55c9.14
glp-1,pes-2.1
glp-1,sbt-1
glp-1,y57a10b.6
glp-1,ttr-47
glp-1,f39h12.3
glp-1,c09b8.4
glp-1,pde-4
glp-1,rig-6
glp-1,fkh-4
glp-1,t28b4.1
glp-1,nlp-14
glp-1,nlp-13
glp-1,paf-2
glp-1,nlp-21
glp-1,c54d10.3
glp-1,c18b2.3
glp-1,t12a7.6
glp-1,dig-1
glp-1,pbo-5
glp-1,aldo-1
glp-1,eeed8.12
glp-1,k03a11.1
glp-1,zk822.2
glp-1,y57a10a.10
glp-1,sdz-35
glp-1,fbxb-26
glp-1,emre-1
glp-1,fbxb-90
glp-1,f58h1.7
glp-1,cdf-2
glp-1,his-44
glp-1,slo-2
glp-1,sod-4
glp-1,sdz-10
glp-1,aqp-7
glp-1,f14b6.3
glp-1,b0410.3
glp-1,fbxc-28
glp-1,gbb-2
glp-1,eeed8.4
glp-1,f13d11.3
glp-1,t25e12.6
glp-1,daf-28
glp-1,y59c2a.1
glp-1,pqn-25
glp-1,pqn-22
glp-1,bgal-1
glp-1,nlp-11
